carat,cut,color,clarity,depth,table,price,x,y,z
1.09,4,2,4,62.9,58.0,7598,6.51,6.55,4.11
0.3,2,2,1,62.1,57.0,886,4.27,4.3,2.66
0.9,2,6,4,62.5,55.0,3175,6.18,6.14,3.85
0.37,1,0,4,62.1,54.0,825,4.67,4.73,2.92
0.35,4,4,2,63.2,57.0,647,4.51,4.48,2.84
0.81,2,4,2,62.3,58.0,2951,5.95,5.96,3.71
0.24,4,2,7,61.8,56.0,608,4.01,4.04,2.48
0.42,2,2,2,61.5,55.0,931,4.82,4.84,2.97
0.35,2,2,5,62.4,57.0,906,4.51,4.5,2.81
0.74,1,2,3,59.3,61.0,2190,5.87,5.97,3.51
0.3,4,3,7,61.3,58.0,684,4.28,4.34,2.64
0.64,4,1,5,63.4,54.0,2114,5.52,5.49,3.49
0.85,1,3,2,64.9,56.0,2945,5.95,5.98,3.87
0.3,3,1,1,60.1,60.0,1097,4.32,4.3,2.59
0.29,4,4,6,62.0,55.0,478,4.24,4.27,2.64
0.41,2,1,4,61.7,57.0,1079,4.76,4.8,2.95
1.51,0,4,3,64.5,59.0,6291,7.21,7.15,4.63
0.6,2,3,3,59.1,56.0,1250,5.58,5.52,3.28
0.3,2,2,5,61.9,55.0,605,4.31,4.32,2.67
1.09,2,1,7,61.6,56.0,10314,6.6,6.64,4.08
2.01,3,5,2,60.1,59.0,14752,8.21,8.15,4.92
1.26,3,4,2,62.2,58.0,6664,6.93,6.87,4.29
0.41,1,1,2,63.9,58.0,755,4.7,4.72,3.01
0.9,4,1,2,61.4,56.0,5387,6.19,6.23,3.81
1.0,3,2,7,60.6,54.0,8924,6.56,6.52,3.96
1.0,4,1,2,62.1,57.0,4864,6.35,6.4,3.96
0.4,2,0,2,62.1,56.0,772,4.7,4.74,2.93
1.14,4,4,5,59.9,57.0,5053,6.78,6.81,4.07
0.38,4,2,6,63.8,58.0,1030,4.58,4.61,2.93
0.7,4,4,5,63.0,55.4,2513,5.67,5.7,3.58
0.36,3,3,4,61.2,60.0,932,4.59,4.56,2.8
0.8,3,1,2,62.9,60.0,3091,5.89,5.87,3.7
0.55,3,1,5,60.5,58.0,1786,5.26,5.32,3.2
0.92,3,1,3,61.8,59.0,3679,6.19,6.11,3.8
0.4,1,1,2,63.3,56.0,687,4.68,4.74,2.98
1.04,3,3,2,60.3,58.0,3780,6.6,6.55,3.96
0.35,2,1,5,62.2,56.0,984,4.53,4.51,2.81
2.11,4,5,5,60.3,60.5,16363,8.22,8.29,4.98
1.5,4,4,5,60.7,61.0,11025,7.34,7.41,4.48
0.9,4,1,3,62.2,54.0,3715,6.13,6.21,3.84
0.41,2,1,7,61.5,55.0,1187,4.79,4.83,2.96
0.5,3,1,2,62.2,58.0,1073,5.03,4.87,3.1
0.57,4,3,5,62.6,55.0,1608,5.26,5.31,3.31
1.0,3,4,2,62.1,56.0,4788,6.48,6.38,3.99
2.75,2,0,0,60.9,57.0,13156,9.04,8.98,5.49
0.58,2,4,4,61.2,55.0,1671,5.39,5.42,3.31
1.0,4,1,2,59.6,60.0,5257,6.58,6.51,3.9
0.31,4,4,2,63.1,57.0,573,4.34,4.31,2.73
0.3,3,3,7,61.3,57.0,878,4.33,4.29,2.64
0.3,4,1,5,61.9,61.0,658,4.28,4.32,2.66
0.51,2,4,2,62.1,54.0,1161,5.13,5.15,3.19
1.02,2,4,2,60.8,58.0,5251,6.47,6.49,3.94
0.26,4,1,7,61.7,60.0,599,4.11,4.12,2.54
0.7,2,1,2,60.1,57.0,2929,5.78,5.83,3.49
0.96,2,3,2,62.6,57.0,4355,6.28,6.24,3.92
0.33,2,3,4,61.4,54.0,666,4.44,4.48,2.74
0.9,1,3,2,64.2,58.0,3250,6.04,6.01,3.87
0.3,2,3,2,62.1,53.0,422,4.32,4.37,2.7
1.04,4,3,3,62.6,58.0,4375,6.42,6.49,4.04
0.7,3,2,3,60.3,58.0,1806,5.79,5.76,3.48
0.33,4,1,6,61.8,54.0,945,4.47,4.49,2.77
1.03,3,0,3,61.3,61.0,4764,6.49,6.46,3.97
0.72,4,2,4,63.4,57.0,3264,5.68,5.7,3.61
1.23,2,2,4,61.3,57.0,8679,6.93,6.86,4.23
1.21,3,6,6,61.3,59.0,5893,6.81,6.86,4.19
1.52,0,3,5,55.2,66.0,10623,7.72,7.67,4.26
0.32,2,3,1,61.8,55.0,918,4.42,4.45,2.74
1.54,3,4,1,62.5,58.0,12196,7.33,7.38,4.6
0.41,2,2,5,62.7,56.0,1107,4.78,4.72,2.98
1.74,3,6,3,59.7,57.0,8690,7.88,7.8,4.68
0.34,3,1,5,58.8,59.0,956,4.59,4.56,2.69
0.92,0,2,3,65.3,58.0,3282,6.08,6.04,3.96
0.52,2,2,3,62.1,55.0,1191,5.14,5.17,3.2
0.98,4,3,3,62.2,57.0,4542,6.33,6.37,3.95
1.22,2,5,2,60.2,57.0,5807,6.99,6.93,4.19
2.0,4,6,3,59.8,60.0,11792,8.09,8.13,4.85
0.38,2,1,7,62.4,56.0,1097,4.69,4.63,2.91
0.55,3,3,4,59.4,62.0,1792,5.36,5.32,3.17
2.01,3,4,2,61.4,56.0,18295,8.19,8.13,5.01
0.7,3,3,0,61.6,56.0,1138,5.8,5.63,3.52
2.01,4,4,2,60.0,58.0,17095,8.16,8.25,4.92
0.74,4,4,3,62.1,58.0,2222,5.82,5.78,3.6
0.79,3,1,6,62.8,60.0,4490,5.89,5.8,3.67
1.7,2,5,3,60.7,59.0,8743,7.69,7.64,4.65
2.11,4,3,0,63.2,57.0,7834,8.13,8.07,5.12
1.72,3,3,5,61.1,58.0,15801,7.69,7.73,4.71
0.4,1,1,2,63.6,57.0,882,4.69,4.65,2.97
0.42,1,1,2,63.6,61.0,945,4.73,4.7,3.0
0.7,0,3,5,57.3,63.0,2273,5.78,5.84,3.33
1.0,4,2,3,61.7,58.0,3789,6.32,6.36,3.91
1.25,3,6,3,62.3,59.0,4410,6.86,6.82,4.26
0.41,2,5,5,61.2,56.0,1056,4.77,4.81,2.93
0.39,2,2,5,59.2,58.0,862,4.78,4.81,2.84
1.51,3,4,2,62.0,58.0,9511,7.38,7.34,4.56
1.02,4,3,7,61.3,59.0,7292,6.46,6.53,3.98
2.0,3,4,3,59.7,61.0,15451,8.2,8.15,4.88
0.41,3,0,3,62.4,60.0,683,4.71,4.77,2.96
1.23,1,4,2,63.9,56.0,5889,6.81,6.77,4.34
0.7,4,4,5,60.0,57.0,2335,5.74,5.8,3.46
1.19,3,6,3,58.4,60.0,4198,6.98,6.92,4.06
1.1,2,1,3,59.4,54.0,4071,6.79,6.74,4.02
0.72,2,4,2,60.3,59.0,2197,5.77,5.83,3.5
0.71,2,5,7,62.0,54.0,2387,5.72,5.76,3.56
0.3,2,4,6,61.3,57.0,665,4.32,4.36,2.66
0.77,1,4,7,64.3,57.9,2734,5.7,5.86,3.71
0.38,1,5,2,63.7,57.0,659,4.63,4.57,2.93
0.7,2,2,7,62.0,55.0,3191,5.71,5.67,3.53
1.0,3,4,4,61.5,57.0,5387,6.44,6.37,3.94
1.52,2,1,2,62.1,56.0,13280,7.35,7.38,4.57
0.41,2,0,2,61.7,54.0,791,4.78,4.79,2.95
0.29,2,1,5,60.1,56.0,619,4.3,4.34,2.6
0.3,3,3,6,62.1,56.0,1013,4.31,4.29,2.67
0.3,0,3,6,58.6,66.0,790,4.36,4.41,2.57
0.5,4,2,7,61.9,59.0,2041,5.07,5.11,3.15
1.52,2,4,2,61.5,58.0,10589,7.4,7.36,4.54
1.02,3,1,6,61.5,59.0,11163,6.46,6.41,3.96
0.33,2,3,4,62.3,57.0,854,4.42,4.38,2.74
0.36,2,0,5,61.1,57.0,852,4.58,4.62,2.81
1.5,3,3,2,62.3,60.0,7535,7.27,7.17,4.5
0.73,4,2,2,61.3,56.0,3023,5.78,5.84,3.56
1.08,2,3,3,61.9,58.0,4675,6.55,6.57,4.06
1.13,3,3,3,60.0,61.0,4518,6.78,6.71,4.05
0.36,3,5,5,62.7,59.0,648,4.58,4.54,2.86
0.72,1,1,3,57.9,56.0,2308,5.93,5.85,3.41
0.24,1,2,6,64.8,57.0,492,3.9,3.94,2.54
0.8,2,2,4,61.2,56.0,3860,5.98,6.01,3.67
1.09,4,0,3,59.2,63.0,4322,6.71,6.67,3.96
0.4,4,0,5,59.3,58.0,850,4.8,4.85,2.86
1.07,2,2,3,62.0,56.0,5077,6.51,6.55,4.09
0.42,2,3,4,62.7,54.0,984,4.83,4.8,3.02
0.41,2,1,5,62.3,54.0,875,4.74,4.8,2.97
0.26,3,1,5,62.1,56.0,580,4.13,4.11,2.56
0.3,2,5,2,61.9,57.0,422,4.29,4.31,2.66
1.5,3,2,5,61.5,58.0,14071,7.34,7.36,4.52
0.71,3,4,5,62.8,56.0,2531,5.75,5.68,3.59
1.0,4,0,3,63.2,57.0,4628,6.24,6.32,3.97
0.9,3,3,2,62.7,58.0,3774,6.13,6.08,3.83
0.85,4,1,3,63.1,58.0,2966,6.02,6.0,3.79
1.52,3,6,5,62.0,59.0,7758,7.28,7.31,4.52
1.21,2,4,3,62.6,56.0,5624,6.84,6.77,4.26
0.26,2,0,7,61.4,56.0,769,4.15,4.12,2.54
1.54,2,2,4,60.5,56.0,17949,7.52,7.49,4.54
0.35,2,1,1,62.2,56.0,1254,4.52,4.51,2.81
0.31,3,1,2,62.7,58.0,471,4.32,4.35,2.72
0.42,2,2,3,61.7,54.0,626,4.85,4.87,3.0
0.41,2,3,6,62.1,55.0,1230,4.79,4.74,2.96
0.31,2,3,2,62.2,55.0,593,4.38,4.36,2.72
0.52,4,1,5,62.5,58.0,1653,5.13,5.18,3.22
1.01,3,2,3,62.6,60.0,4497,6.37,6.35,3.98
0.3,4,0,4,62.2,58.0,742,4.25,4.27,2.65
0.34,3,1,3,62.4,59.0,477,4.42,4.46,2.77
0.71,2,2,2,61.5,56.0,2610,5.69,5.76,3.52
0.5,3,1,5,62.0,58.0,1559,5.07,5.09,3.15
0.3,3,1,5,60.7,59.0,658,4.3,4.33,2.62
1.12,2,3,5,62.2,54.0,6774,6.65,6.62,4.13
1.51,2,6,5,61.5,56.0,8203,7.37,7.4,4.54
0.71,2,1,4,60.4,56.0,3238,5.8,5.85,3.52
0.75,2,6,4,62.9,57.0,2300,5.74,5.81,3.63
1.11,2,4,3,62.6,56.0,4719,6.58,6.65,4.14
1.71,3,3,4,62.3,58.0,17041,7.61,7.65,4.75
1.0,3,1,3,60.6,61.0,4390,6.44,6.39,3.89
1.21,2,2,3,61.8,57.0,6105,6.87,6.82,4.23
1.71,4,2,2,63.3,53.0,13152,7.54,7.59,4.79
0.71,4,3,7,62.8,58.0,3281,5.69,5.75,3.59
0.76,2,1,5,61.3,56.0,3079,5.79,5.83,3.56
0.71,4,5,5,61.4,56.0,2219,5.73,5.79,3.53
2.19,4,5,2,62.6,58.0,14819,8.24,8.33,5.19
1.5,2,5,5,60.0,61.0,9827,7.39,7.42,4.44
1.0,1,0,2,64.8,58.0,5013,6.23,6.27,4.05
1.2,4,6,3,61.8,56.0,4102,6.81,6.85,4.22
0.35,2,2,4,62.4,55.0,665,4.49,4.52,2.81
0.4,0,0,2,65.1,55.0,644,4.63,4.68,3.03
0.4,2,3,6,62.1,53.0,1043,4.75,4.79,2.96
1.64,3,2,2,62.8,59.0,12670,7.53,7.51,4.72
0.54,2,4,6,61.7,57.0,1944,5.24,5.23,3.23
0.74,3,1,5,62.7,58.0,3228,5.77,5.72,3.6
1.24,2,6,3,60.1,57.0,4783,7.02,6.98,4.21
0.32,2,2,4,61.9,55.0,876,4.41,4.4,2.73
0.71,4,1,2,63.1,59.0,2441,5.75,5.62,3.59
2.0,4,3,2,63.0,55.0,17724,7.96,8.1,5.06
0.32,2,3,6,61.7,56.0,814,4.4,4.42,2.72
0.4,2,5,2,61.6,56.0,765,4.74,4.68,2.9
0.91,3,4,5,61.8,60.0,4238,6.22,6.18,3.83
1.5,1,1,2,63.9,54.0,11948,7.26,7.2,4.62
0.31,2,0,6,62.3,54.0,949,4.36,4.4,2.73
0.7,4,0,7,62.3,56.0,3622,5.66,5.7,3.54
1.02,3,2,4,62.7,55.0,7677,6.43,6.37,4.01
0.54,2,1,5,62.4,56.0,1765,5.23,5.19,3.25
0.3,2,3,7,61.5,56.0,878,4.34,4.31,2.66
1.0,3,2,5,59.9,60.0,5606,6.11,6.07,3.65
1.01,3,3,5,61.8,59.0,5946,6.45,6.4,3.97
1.01,3,2,4,62.4,61.0,7127,6.39,6.36,3.98
1.01,3,3,5,62.1,59.0,5864,6.43,6.38,3.98
1.13,2,5,5,62.2,55.0,5165,6.69,6.67,4.15
0.32,2,0,2,60.9,55.0,715,4.45,4.48,2.72
0.7,2,0,5,61.4,55.0,3360,5.71,5.75,3.52
1.52,2,1,5,62.2,57.0,15239,7.34,7.38,4.58
1.2,3,4,3,62.4,61.0,5040,6.81,6.78,4.24
1.72,4,2,0,60.5,59.0,6962,7.71,7.8,4.69
0.41,3,0,2,61.4,58.0,791,4.76,4.78,2.93
0.72,2,3,7,62.0,55.0,3352,5.72,5.76,3.56
0.3,3,1,5,60.4,58.0,844,4.34,4.3,2.61
0.32,4,4,4,58.9,63.0,624,4.46,4.4,2.61
0.35,3,5,2,62.5,58.0,472,4.49,4.53,2.82
0.31,3,4,5,61.9,58.0,628,4.39,4.37,2.71
1.31,2,3,7,61.3,58.0,11975,7.03,7.07,4.32
0.7,4,5,2,61.4,57.0,2028,5.72,5.75,3.52
1.52,2,3,5,61.4,56.0,14692,7.39,7.47,4.56
0.74,3,3,3,62.8,57.0,2109,5.77,5.73,3.61
1.01,3,2,3,60.9,60.0,3297,6.45,6.42,3.91
1.02,2,1,2,61.9,55.0,5806,6.49,6.46,4.01
0.77,1,0,3,63.8,58.0,2642,5.78,5.81,3.7
1.2,3,1,4,60.7,57.0,10053,6.89,6.81,4.16
1.2,3,4,2,61.8,58.0,5669,6.8,6.72,4.18
1.2,4,3,3,62.5,57.0,5250,6.73,6.84,4.24
0.31,4,1,2,58.3,60.0,544,4.48,4.51,2.62
0.73,2,1,2,60.1,56.0,2661,5.91,5.87,3.54
0.51,1,0,2,63.3,57.0,1423,5.06,5.09,3.21
1.01,3,3,1,63.0,60.0,8120,6.35,6.31,3.99
1.17,2,3,5,62.0,57.0,7423,6.74,6.78,4.19
0.44,3,3,7,60.9,57.0,1155,4.93,4.89,2.99
0.91,4,2,5,62.1,58.0,4917,6.19,6.24,3.86
1.22,1,6,4,58.5,61.0,5356,6.94,7.0,4.08
0.3,4,0,2,63.1,56.0,662,4.28,4.24,2.69
1.51,3,3,4,62.4,60.0,12948,7.34,7.3,4.57
1.01,3,3,3,63.0,59.0,3923,6.38,6.32,4.0
0.55,4,1,7,60.8,55.0,2238,5.26,5.33,3.22
0.24,4,4,7,61.9,57.0,449,3.97,4.01,2.47
1.16,2,3,5,62.3,57.0,7074,6.66,6.72,4.17
2.2,2,4,3,60.0,58.0,16530,8.47,8.5,5.09
0.78,4,0,5,58.5,56.0,3298,6.08,6.12,3.57
0.37,4,1,4,60.2,56.0,925,4.68,4.71,2.83
0.7,3,2,2,62.6,55.0,2184,5.65,4.5,3.0
0.57,2,1,2,62.1,56.0,1728,5.33,5.3,3.3
2.02,4,2,2,62.8,59.0,15987,7.9,7.98,4.99
1.51,3,2,5,62.0,60.0,14294,7.35,7.23,4.52
0.41,4,0,5,62.8,55.0,1007,4.7,4.73,2.96
0.4,4,1,7,62.8,58.0,1066,4.68,4.71,2.95
1.2,4,3,2,63.2,59.0,5665,6.77,6.74,4.27
1.1,3,4,2,60.7,59.0,5476,6.72,6.7,4.07
1.0,3,3,5,60.8,60.0,5322,6.39,6.33,3.87
0.72,4,2,5,61.6,58.0,3238,5.75,5.78,3.55
1.5,4,5,2,63.1,59.0,8291,7.16,7.23,4.54
0.37,2,2,5,60.6,56.0,746,4.63,4.64,2.81
1.2,4,5,4,62.4,56.0,6167,6.78,6.74,4.22
0.34,3,4,2,62.1,59.0,612,4.5,4.46,2.78
1.13,4,4,3,62.0,58.0,5179,6.67,6.71,4.15
0.4,4,3,4,63.4,56.0,1005,4.72,4.68,2.98
1.2,4,5,2,62.6,57.0,5476,6.74,6.77,4.23
0.81,4,2,3,63.2,58.0,2843,5.91,5.92,3.74
0.76,2,0,3,62.2,57.0,2706,5.85,5.83,3.63
0.41,2,2,6,62.3,53.0,1356,4.8,4.77,2.98
